title,oldprice,specialprice,regprice,rating,photo,link,pagetime,pageurl
Antinori Solaia (750 ML),,,$349.99,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/Placeholder_Image_-_Generic_1.png,http://www.bevmo.com/catalog/product/view/id/66478/s/antinori-solaia--750-ml-/,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Kathryn Hall Cabernet Sauvignon 1.5L (1.5 LTR),$399.99,$329.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/115818.png,http://www.bevmo.com/kathryn-hall-cabernet-sauvignon-1-5l--1-5-ltr-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Ceretto Barolo Bricco Rocche (750 ML),$299.99,$259.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/115819.png,http://www.bevmo.com/ceretto-barolo-bricco-rocche--750-ml-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Silver Oak Napa Valley Cabernet Sauvignon '12  1.5L (1.5 LTR),$289.99,$259.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/Placeholder_Image_-_Generic_1.png,http://www.bevmo.com/silver-oak-napa-valley-cabernet-sauvignon--12--1-5l--1-5-ltr-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Joseph Phelps Insignia 2013 (750 ML),$299.99,$249.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/115807.png,http://www.bevmo.com/joseph-phelps-insignia-2013--750-ml-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Ornellaia (750 ML),$269.99,$199.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/112917.jpg,http://www.bevmo.com/ornellaia--750-ml-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Tenuta di Biserno (750 ML),$219.99,$189.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/i/bis_bibbona_btl_535px_118097.png,http://www.bevmo.com/tenuta-di-biserno--750-ml-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
INGLENOOK RUBICON 09 (750 ML),$277.99,$174.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/0/108555.jpg,http://www.bevmo.com/catalog/product/view/id/64134/s/inglenook-rubicon-09--750-ml-/,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Neyers Ame Cab Sauv 1.5 LTR (1.5 LTR),$179.99,$169.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/111992.jpg,http://www.bevmo.com/neyers-ame-cab-sauv-1-5-ltr--1-5-ltr-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Inglenook Rubicon 2012 (750 ML),$229.99,$169.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/113011.jpg,http://www.bevmo.com/inglenook-rubicon-2012--750-ml-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Elio Grasso Barolo Runcot Riserva '10 (750 ML),$179.99,$159.99,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/l/elio-grasso-barolo-runcot-riserva-2007_117010.png,http://www.bevmo.com/elio-grasso-barolo-runcot-riserva--10--750-ml-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
Heitz Cellars Trailside Cab (1.5 LTR),$179.99,$159.97,,,http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/0/109707.jpg,http://www.bevmo.com/heitz-cellars-trailside-cab--1-5-ltr-.html,Thu Jul 06 2017 18:39:02 GMT-0700 (PDT),http://www.bevmo.com/wine/red-wine.html#page=1&amp;top=583&amp;
