URL,Title,Closed,Claimed,Addr,CityStateZip,Category,Rating,ReviewCount,Website,Price,PriceRange,Lat,Lng,HrsDay0,HrsDay1,HrsDay2,HrsDay3,HrsDay4,HrsDay5,HrsDay6,pagetime,pageurl
concannon-vineyard-livermore,Concannon Vineyard,false,true,4590 Tesla Rd,"Livermore, CA 94550",Wineries,3.5,376,concannonvineyard.com,Moderate,$$,37.666217,-121.739736,11:00 am - 4:30 pm,11:00 am - 4:30 pm,11:00 am - 4:30 pm,11:00 am - 4:30 pm,11:00 am - 4:30 pm,11:00 am - 4:30 pm,11:00 am - 4:30 pm,Mon Jul 03 2017 18:53:47 GMT-0700 (PDT),https://www.yelp.com/biz/concannon-vineyard-livermore
wente-vineyards-estate-winery-and-tasting-room-livermore,Wente Vineyards Estate Winery & Tasting Room,false,true,5565 Tesla Rd,"Livermore, CA 94550","Wine Tasting Room, Wine Tours",4,305,wentevineyards.com,Moderate,$$,37.664268,-121.725366,11:00 am - 5:30 pm,11:00 am - 5:30 pm,11:00 am - 5:30 pm,11:00 am - 5:30 pm,11:00 am - 5:30 pm,11:00 am - 5:30 pm,11:00 am - 5:30 pm,Mon Jul 03 2017 18:54:09 GMT-0700 (PDT),https://www.yelp.com/biz/wente-vineyards-estate-winery-and-tasting-room-livermore
murrietas-well-livermore-4,Murrieta%u2019s Well,false,true,3005 Mines Rd,"Livermore, CA 94550",Wineries,4,238,murrietaswell.com,Moderate,$$,37.658993,-121.734448,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,11:00 am - 5:00 pm,11:00 am - 5:00 pm,11:00 am - 5:00 pm,Mon Jul 03 2017 18:53:12 GMT-0700 (PDT),https://www.yelp.com/biz/murrietas-well-livermore-4
bent-creek-winery-livermore,Bent Creek Winery,false,true,5455 Greenville Rd,"Livermore, CA 94550",Wineries,4.5,169,bentcreekwinery.com,Moderate,$$,37.650118,-121.701835,Closed,Closed,Closed,Closed,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,Mon Jul 03 2017 18:54:35 GMT-0700 (PDT),https://www.yelp.com/biz/bent-creek-winery-livermore
fenestra-winery-livermore,Fenestra Winery,false,true,83 Vallecitos Rd,"Livermore, CA 94550",Wineries,3.5,164,fenestrawinery.com,Moderate,$$,37.641843,-121.79601,Closed,Closed,Closed,Closed,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,Mon Jul 03 2017 18:31:57 GMT-0700 (PDT),https://www.yelp.com/biz/fenestra-winery-livermore
garre-winery-livermore-2,Garre Winery,false,true,7986 Tesla Rd,"Livermore, CA 94550","Wineries, Venues & Event Spaces",3.5,146,garrewinery.com,Moderate,$$,37.667075,-121.698094,11:00 am - 2:00 pm,11:00 am - 2:00 pm,11:00 am - 2:00 pm,11:00 am - 2:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,Mon Jul 03 2017 18:55:02 GMT-0700 (PDT),https://www.yelp.com/biz/garre-winery-livermore-2
tenuta-vineyards-livermore,Tenuta Vineyards,false,true,633 Kalthoff Common,"Livermore, CA 94550",Wineries,4,133,tenutawinery.com,Moderate,$$,37.629523,-121.790184,Closed,Closed,Closed,Closed,12:00 pm - 7:00 pm,12:00 pm - 7:00 pm,12:00 pm - 7:00 pm,Mon Jul 03 2017 18:55:48 GMT-0700 (PDT),https://www.yelp.com/biz/tenuta-vineyards-livermore
the-steven-kent-winery-livermore,The Steven Kent Winery,false,true,5443 Tesla Rd,"Livermore, CA 94550",Wineries,4,107,stevenkent.com,Pricey,$$$,37.664235,-121.728078,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,Mon Jul 03 2017 18:55:30 GMT-0700 (PDT),https://www.yelp.com/biz/the-steven-kent-winery-livermore
page-mill-winery-livermore,Page Mill Winery,false,true,1960 S Livermore Ave,"Livermore, CA 94550",Wineries,4,86,pagemillwinery.com,Moderate,$$,37.6689,-121.747011,12:00 pm - 4:30 pm,Closed,Closed,12:00 pm - 8:00 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,12:00 pm - 4:30 pm,Mon Jul 03 2017 18:52:52 GMT-0700 (PDT),https://www.yelp.com/biz/page-mill-winery-livermore
mitchell-katz-winery-livermore,Mitchell Katz Winery,false,true,2481 Buena Vista Ave,"Livermore, CA 94550",Wineries,4,71,mitchellkatzwinery.com,Moderate,$$,37.666832,-121.736017,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,Mon Jul 03 2017 18:53:38 GMT-0700 (PDT),https://www.yelp.com/biz/mitchell-katz-winery-livermore
las-positas-vineyards-livermore,Las Positas Vineyards,false,true,1828 Wetmore Rd,"Livermore, CA 94550",Wineries,4,69,laspositasvineyards.com,Moderate,$$,37.645596,-121.770132,Closed,Closed,Closed,Closed,11:30 am - 4:30 pm,11:30 am - 4:30 pm,11:30 am - 4:30 pm,Mon Jul 03 2017 18:55:18 GMT-0700 (PDT),https://www.yelp.com/biz/las-positas-vineyards-livermore
darcie-kent-vineyards-livermore,Darcie Kent Vineyards,false,true,7000 Tesla Rd,"Livermore, CA 94550",Wineries,4.5,66,darciekentvineyards.com,Moderate,$$,37.666036,-121.706394,12:00 pm - 5:00 pm,Closed,Closed,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,12:00 pm - 5:00 pm,Mon Jul 03 2017 18:56:05 GMT-0700 (PDT),https://www.yelp.com/biz/darcie-kent-vineyards-livermore
