id,name,seo_name,has_detailed_info,wines_count
1,Shiraz/Syrah,shiraz-syrah,true,260100
2,Cabernet Sauvignon,cabernet-sauvignon,true,413414
3,Cabernet Franc,cabernet-franc,true,131889
5,Chardonnay,chardonnay,true,292147
6,Chenin Blanc,chenin-blanc,true,25998
7,Gewurztraminer,gewurztraminer,true,29761
8,Grenache,grenache-noir,true,97155
9,Malbec,malbec,true,111986
10,Merlot,merlot,true,287645
11,Muscat Blanc,muscat-blanc,false,13565
12,Nebbiolo,nebbiolo,true,30014
13,Pinot Gris,pinot-gris,true,30869
14,Pinot Noir,pinot-noir,true,278731
15,Riesling,riesling,true,135719
16,Sangiovese,sangiovese,true,68010
17,Sauvignon Blanc,sauvignon-blanc,true,132452
18,Sémillon,semillion,true,29120
19,Tempranillo,tempranillo,true,90886
20,Viognier,viognier,true,40876
21,Zinfandel,zinfandel,true,39583
22,Mourvedre,mourvedre,true,43280
23,Roussanne,roussanne,false,13735
24,Marsanne,marsanne,false,9567
25,Petite Sirah,petite-sirah,false,17891
26,Cynthiana,cynthiana,false,96
27,Norton,norton,false,633
28,Muscadine,muscadine,false,900
29,Arneis,arneis,false,3245
31,Barbera,barbera,true,27510
32,Counoise,counoise,false,1508
33,Ribolla Gialla,ribolla-gialla,false,2692
34,Pinot Grigio,pinot-grigio,true,25804
35,Teroldego,teroldego,false,1765
36,Pinot Blanc,pinot-blanc,false,26946
37,Dolcetto,dolcetto,false,6960
38,Palomino,palomino,false,3972
39,Malvasia,malvasia,false,13240
40,Alicante Bouschet,alicante-bouschet,false,10978
41,Carignan,carignane,true,24235
42,Petit Verdot,petit-verdot,true,42221
43,Corvina,corvina,false,11697
44,Dindarella,dindarella,false,109
45,Rondinella,rondinella,false,10335
46,Molinara,molinara,false,6595
47,Croatina,croatina,false,1892
48,Tannat,tannat,false,13697
49,Albarino,albarino,false,7371
50,Aligoté,aligote,false,3979
51,Carménère,carmenere,true,27741
52,Colombard,colombard,false,3946
53,Colorino del Valdarno,colorino-del-valdarno,false,940
54,Grechetto,grechetto,false,1809
55,Trebbiano,trebbiano,false,8356
56,Grenache Blanc,grenache-blanc,false,14732
57,Mazuelo,mazuelo,false,4150
58,Montepulciano,montepulciano-d-abruzzo,false,13323
59,Moscato,moscato,false,17004
61,Muscat de Frontignan,muscat-de-frontignan,false,374
62,Pinotage,pinotage,false,9180
63,Prugnolo Gentile,prugnolo-gentile,false,376
64,Canaiolo Nero,canaiolo-nero,false,2391
65,Mammolo,mammolo,false,341
66,Ruby Cabernet,ruby-cabernet,false,1078
67,Touriga Nacional,touriga-nacional,true,36208
68,Touriga Franca,touriga-franca,false,15112
69,Tinta Roriz,tinta-roriz,false,17032
70,Tinto Cao,tinto-cao,false,4185
71,Tinta Barroca,tinta-barroca,false,7346
72,Arinarnoa,arinarnoa,false,207
74,Bonarda,bonarda,false,7746
75,Cinsault,cinsault,false,16744
76,Clairette,clairette,false,5253
77,Cortese,cortese,false,2902
78,Freisa,freisa,false,908
79,Frontenac,frontenac,false,833
80,Gamay,gamay,false,24194
81,Graciano,graciano,false,6392
82,Lagrein,lagrein,false,3307
83,Macabeo,macabeo,false,11761
85,Xarel-lo,xarello,false,7518
86,Parellada,parellada,false,5130
87,Malvasia di Schierano,malvasia-di-schierano,false,28
88,Monastrell,monastrell,false,8717
89,Muscadelle,muscadelle,false,4296
91,Verdelho,verdelho,false,4856
92,Primitivo,primitivo,false,14739
93,Torrontés,torrontes,false,7748
94,Trepat,trepat,false,653
96,Viura,viura,false,5708
97,Aglianico,aglianico,false,7465
98,Albana,albana,false,715
99,Bombino Nero,bombino-nero,false,129
100,Negroamaro,negroamaro,false,7062
101,Cannonau,cannonau,false,2042
102,Falanghina,falanghina,false,3201
103,Fiano,fiano,false,3335
104,Garganega,garganega,false,4600
105,Tocai Friulano,tocai-friulano,false,1223
106,Grillo,grillo,false,3340
107,Montuni,montuni,false,57
108,Nero d'Avola,nero-d-avola,false,11529
109,Pignoletto,pignoletto,false,1040
110,Pinot Meunier,pinot-meunier,false,13469
111,Procanico,procanico,false,299
112,Glera (Prosecco),glera-prosecco,true,15292
114,Sylvaner,sylvaner,false,4139
115,Terrano,terrano,false,580
116,Verdeca,verdeca,false,446
117,Bianco d'Alessano,bianco-dalessano,false,228
118,Verdejo,verdejo,false,8463
119,Vermentino,vermentino,false,11982
120,Vernaccia,vernaccia,false,977
121,Acolon,acolon,false,860
122,Aleatico,aleatico,false,730
123,Alfrocheiro Preto,alfrocheiro-preto,false,3052
124,Jaen,jaen,false,1421
127,Aragonez,aragonez,false,12491
128,Arinto de Bucelas,arinto-de-bucelas,false,9066
129,Baga,baga,false,2392
130,Biancame,biancame,false,81
131,Bobal,bobal,false,2440
132,Bourboulenc,bourboulenc,false,2538
133,Cabernet Dorsa,cabernet-dorsa,false,954
134,Cabernet Mitos,cabernet-mitos,false,508
135,Cariñena,carinena,false,3763
136,Castelao,castelao,false,4941
137,Cencibel,cencibel,false,247
138,Dornfelder,dornfelder,false,9812
140,Feteasca,feteasca,false,189
141,Feteasca Alba,feteasca-alba,false,650
142,Garnacha,garnacha,true,27817
143,Garnacha Blanca,garnacha-blanca,false,2976
144,Garnacha Tinta,garnacha-tinta,false,2580
145,Gouveio,gouveio,false,2688
146,Grasa de Cotnari,grasa-de-Cotnari,false,50
147,Grauburgunder,grauburgunder,false,9697
148,Lemberger,lemberger,false,3121
149,Loureiro,loureiro,false,2430
150,Marzemino,marzemino,false,1433
151,Mataro,mataro,false,1856
152,Moscatel de Alejandría,moscatel-de-alejandria,false,1823
153,Moscatel de grano menudo,moscatel-de-grano-menudo,false,579
154,Muscat Noir,muscat-noir,false,859
155,Muscat Ottonel,muscat-ottonel,false,1882
156,Muscatel,muscatel,false,3312
157,Negrette,negrette,false,693
158,Passerina,passerina,false,1416
159,Pecorino,pecorino,false,2667
160,Petit Bouschet,petit-bouschet,false,26
161,Rabigato,rabigato,false,3099
162,Refosco dal Peduncolo rosso,refosco-dal-peduncolo-rosso,false,1238
163,Tamaioasa,tamaioasa,false,44
164,Tamaioasa Romaneasca,tamaioasa-romaneasca,false,335
165,Tamarez,tamarez,false,121
166,Tinta Amarela,tinta-amarela,false,1843
167,Tinta de toro,tinta-de-toro,false,2091
168,Tinta Miuda,tinta-miuda,false,417
169,Tinto Fino,tinto-fino,false,1576
170,Tocai Italico,tocai-italico,false,225
171,Trajadura,trajadura,false,944
172,Traminer,traminer,false,4845
173,Trincadeira das Pratas,trincadeira-das-pratas,false,178
174,Trousseau,trousseau,false,1046
175,Ugni blanc,ugni-blanc,false,3214
176,Verdicchio,verdicchio,false,2931
177,Verduzzo Friulano,verduzzo-friulano,false,441
178,Viosinho,viosinho,false,3743
179,Alvarelhao,alvarelhao,false,216
