title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
Champagne Brut,4.6,199.97,44800,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/vintage-8888,/wineries/dom-perignon/wines/vintage-8888,//images.vivino.com/thumbs/J0ahYIj7RR--cw2YaMDJjA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut (Carte Jaune),4.2,44.97,39716,fr,France,Champagne,Veuve Clicquot,/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-8888,/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-8888,//images.vivino.com/thumbs/9jAfIOV2SlqT7zSEVppJAQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Impérial Brut,4.1,33.89,37103,fr,France,Champagne,Moët &amp; Chandon,/wineries/moet-and-chandon/wines/imprial-8888,/wineries/moet-and-chandon/wines/imprial-8888,//images.vivino.com/wineries/7799/wines/000o1tb8lb47b_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Vinho Verde Branco,3.6,7.99,29924,pt,Portugal,Vinho Verde,Casal Garcia,/wineries/casal-gracia/wines/vinho-verde-casal-garcia-8888,/wineries/casal-gracia/wines/vinho-verde-casal-garcia-8888,//images.vivino.com/thumbs/VzS_uSVvTx2Lg-o3JIa3pw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Periquita Original,3.3,11.99,24637,pt,Portugal,Península de Setúbal,José Maria da Fonseca,/wineries/jose-maria-da-fonseca/wines/periquita-original-vinho-vino-tinto-de-mesa-seco-8888,/wineries/jose-maria-da-fonseca/wines/periquita-original-vinho-vino-tinto-de-mesa-seco-8888,//images.vivino.com/thumbs/7gFhfmgyT4Kx_4TaDIflyQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Special Cuvée Brut Champagne,4.2,48.88,18233,fr,France,Champagne,Bollinger,/wineries/bollinger/wines/special-cuve-champagne-brut-8888,/wineries/bollinger/wines/special-cuve-champagne-brut-8888,//images.vivino.com/thumbs/1353520621_3785_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Premier,4.1,39.89,14850,fr,France,Champagne,Louis Roederer,/wineries/louis-roederer/wines/champagne-brut-premier-8888,/wineries/louis-roederer/wines/champagne-brut-premier-8888,//images.vivino.com/thumbs/w80pwXZlT6ariewRm9vv4g_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Réserve,4.1,39.99,14459,fr,France,Champagne,Taittinger,/wineries/taittinger/wines/champagne-rserve--reims-brut-8888,/wineries/taittinger/wines/champagne-rserve--reims-brut-8888,//images.vivino.com/thumbs/j-rxjXENT8qDDZgGXn0BlQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Pinot Noir 2014,4.1,22.99,14454,us,United States,California,Meiomi,/wineries/meiomi/wines/meiomi-pinot-noir-2014,/wineries/meiomi/wines/meiomi-pinot-noir-2014,//images.vivino.com/thumbs/xJgUShhzTO2202mkmmktCQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Pomerol,4.7,1699.97,14175,fr,France,Pomerol,Pétrus,/wineries/petrus/wines/pomerol-8888-1,/wineries/petrus/wines/pomerol-8888-1,//images.vivino.com/thumbs/whfLQWMrS5yMdOREUDTcnw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
