title,price,unit,productUrl,image,pagetime,pageurl
"1997 Reserve Cabernet Sauvignon","$115.00","per Bottle","/product?productid=BB8D52E6-F05C-48EA-7C28-0CB712520775","//shop.concannonvineyard.com/assets/images/wines/originals/97 Res Cab Sauv_4001.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2006 Heritage Petite Sirah","$75.00","per Bottle","/product?productid=5F1ACE6E-E83B-FD48-1AC2-FA1D6D93D673","//shop.concannonvineyard.com/assets/images/wines/originals/CON-HR_BS_750_PSIR_NV_72.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2009 Reserve Cabernet Sauvignon","$60.00","per Bottle","/product?productid=7FC4DC61-F448-433E-126E-8DE8CED6C629","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_CABS_09_72.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2010 Reserve Petit Verdot","$60.00","per Bottle","/product?productid=7F943F11-9769-DBED-FF05-7AB983720778","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_PVER_NV_72.jpg","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2013 Reserve Cabernet Sauvignon","$36.00","per Bottle","/product?productid=E0C571A7-2B99-4AD7-912A-864C46700E81","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_CABS_NV_722.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2013 Reserve Cabernet Sauvignon, Lake County","$36.00","per Bottle","/product?productid=C4C02DCD-A88C-4F2C-B9C8-CDD65CB77ED3","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_CABS_NV_300_LakeCounty.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2013 Reserve Cabernet Sauvigon Mother Vine","$42.00","per Bottle","/product?productid=D7A2606F-EEB5-4E6A-A1E6-14DA2D3C0B22","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_CABS_13_300_MV.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2013 Reserve Petite Sirah","$42.00","per Bottle","/product?productid=6AD29387-BF95-452B-AC7B-541A0B46D8C9","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_PSIR_NV_721.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2013 Reserve Petite Sirah, Polo Field","$40.00","per Bottle","/product?productid=31386303-94E8-4FF0-87C1-3AC45849EFC5","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_PSIR_NV_300_PF.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2014 CV Cabernet Sauvignon","$20.00","per Bottle","/product?productid=79E3710C-F199-4A75-B31F-8F2E6798F367","//shop.concannonvineyard.com/assets/images/wines/originals/14-034-Mio-Cabernet-OnWhite_F.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2014 CV Petite Sirah","$20.00","per Bottle","/product?productid=7D299C99-4AAB-4D6D-AEDC-A40CCB5483FC","//shop.concannonvineyard.com/assets/images/wines/originals/14 CON PS Bottle Shot-LivermoreValley.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
"2014 Petite Sirah Port","$30.00","per Bottle","/product?productid=65B2A4EE-D846-47BD-91F2-516AF252F1E8","//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_500_PSIP_300.png","Mon Jul 03 2017 20:03:56 GMT-0700 (PDT)","http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist",
