title,price,soldOut,productUrl,image,pagetime,pageurl
"Sparkling Wine","$75.00","true","https://pagemillwinery.com/wine/#1479873664276-618aa08a-9bb4787a-71ea25c9-6a45","https://i2.wp.com/pagemillwinery.com/wp-content/uploads/2016/10/08-Blanc-de-Blanc.jpg?resize=250%2C651&ssl=1","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2012 Blanc de Blanc","$75.00","false","https://pagemillwinery.com/wine/#1479873664276-618aa08a-9bb4787a-71ea25c9-6a45","https://i2.wp.com/pagemillwinery.com/wp-content/uploads/2016/10/08-Blanc-de-Blanc.jpg?resize=250%2C651&ssl=1","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2015 Sauvignon Blanc","","true","https://pagemillwinery.com/wine/#1478189151531-e31bdc9d-cf84dde2-8613787a-71ea25c9-6a45","https://i1.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/Sauvignon-Blanc.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2015 Chardonnay","$30.00","false","https://pagemillwinery.com/wine/#1478189151563-0c792317-9b0edde2-8613787a-71ea25c9-6a45","https://i1.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/Chard-VS.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2015 Angela%u2019s Cuvee","$18.00","false","https://pagemillwinery.com/wine/#1479751127735-eaa127e6-0d88dde2-8613787a-71ea25c9-6a45","https://i2.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/2013-Angelas-Cuvee.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2013 Zinfandel","$22.00","false","https://pagemillwinery.com/wine/#1479872722236-763d45d0-b574787a-71ea25c9-6a45","https://i2.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/zin.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2014 GPS","$36.00","true","https://pagemillwinery.com/wine/#1479752309402-d471d520-7a68dde2-8613787a-71ea25c9-6a45","https://i0.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/2012-gps_DSC5872.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2015 Pinot Noir","$45.00","false","https://pagemillwinery.com/wine/#1479751128734-b7e312f2-01dadde2-8613787a-71ea25c9-6a45","https://i0.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/213342BL.jpg?resize=213%2C400","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2013 Merlot","$29.00","true","https://pagemillwinery.com/wine/#1479751130880-ea23f329-70dfdde2-8613787a-71ea25c9-6a45","https://i0.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/2012-merlot_DSC5874.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2014 Cabernet Franc","","true","https://pagemillwinery.com/wine/#1479872719891-1e1db22f-b5fb787a-71ea25c9-6a45","","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2014 Malbec","","true","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45","","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
"2014 Petite Sirah","$40.00","false","https://pagemillwinery.com/wine/#1479873471424-9ccd9949-318f787a-71ea25c9-6a45","https://i1.wp.com/03ef7fd.netsolhost.com/pagemill/wp-content/uploads/2016/11/2011-petite-sirah_DSC5828.jpg?resize=250%2C666","Mon Jul 03 2017 20:26:16 GMT-0700 (PDT)","https://pagemillwinery.com/wine/#1480838157364-f5b2a35c-b04b25c9-6a45"
