Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
CA-W-2875,Mccormack-Williamson Company, ,3125 E Orange St,Acampo,CA,95220,0,Orange,,
CA-W-17123,"Acquiesce Vineyard, Llc", ,22275 N Tretheway Rd,Acampo,CA,95220,9716,San Joaquin,,
CA-W-16523,"River Bluff Cellars, Inc.", ,3125 E Orange St,Acampo,CA,95220,0,San Joaquin,,
CA-W-16494,Benson Ferry Llc, ,22150 N Kennefick Rd,Acampo,CA,95220,1111,San Joaquin,,
CA-W-15589,Dancing Coyote Wines, ,3125 E Orange St,Acampo,CA,95220,0,San Joaquin,,
CA-W-16808,"Viaggio, Inc.", ,100 E Taddei Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-16471,St. Jorge Winery Llc,St. Jorge Winery,22769 N. Bender Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-15866,Carmela A. & Thomas C. Hoffman,Heritage Oak Winery,10100 E Woodbridge Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-17500,"Constellation Wines U.S., Inc.",Woodbridge Winery,5950 E Woodbridge Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-2774,"Housley Family Investments, Llc", ,22211 N Lower Sacramento Rd,Acampo,CA,95220,9436,San Joaquin,,
CA-W-3274,California Concentrate Co., ,18678 N Highway 99,Acampo,CA,95220,9557,San Joaquin,,
CA-W-16896,Willard Russell Fields,Fields Family Vineyards & Winery,3803 E Woodbridge Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-17179,"Riaza, Llc",Riaza Wines,10171 E Acampo Rd,Acampo,CA,95220,9480,San Joaquin,,
CA-W-15983,"Ehrhardt Estates Winery, Llc", ,22150 N Kennefick Rd,Acampo,CA,95220,9242,San Joaquin,,
CA-W-15986,Dragonfire Vineyards Llc,Draconis Vineyards,22150 N Kennefick Rd,Acampo,CA,95220,9242,San Joaquin,,
CA-W-3032,"R & G Schatz Farms, Inc.",Mokelumne Rim Vineyards,22150 N Kennefick Rd,Acampo,CA,95220,9242,San Joaquin,,
CA-W-16880,"Klinker Brick Winery, Inc.", ,3750 E Woodbridge Rd,Acampo,CA,95220,9469,San Joaquin,,
CA-W-2976,Timothy Robert Holdener,Macchia,7099 E Peltier Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-15653,"Langetwins Wine Company, Inc.",Langetwins Wine Estates,1525 E Jahant Rd,Acampo,CA,95220,0,San Joaquin,,
CA-W-20059,Smith & Hook Winery,Cycles Winery,3750 E Woodbridge Rd,Acampo,CA,95220,9469,San Joaquin,,
CA-W-17414,"Agua Dulce Winery, Llc", ,9640 Sierra Hwy,Agua Dulce,CA,91390,4622,Los Angeles,,
CA-W-17590,Continental Ventures Group Trust, ,10262 Sierra Hwy,Agua Dulce,CA,91390,4628,Los Angeles,,
CA-W-15089,"Awesome Oil, Llc", ,46780 Hwy 371,Aguanga,CA,92536,9785,Riverside,,
CA-W-16927,"Ehrenberg Cellar, Llc",Ehrenberg Cellars,2301 Monarch St,Alameda,CA,94501,0,Alameda,,
CA-W-15349,"Cdk Wines, Llc",Carica Wines,2301 Monarch St,Alameda,CA,94501,7509,Alameda,,
