Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County
AK-W-15001,Alaska Meads Llc,Ring Of Fire Meadery,178 E Bunnell Ave,Homer,AK,99603,7843,Kenai Peninsula
AK-W-15002,Robert Joe Waites,Waites Winery,2321 Clements Dr,Anchorage,AK,99515,4163,Anchorage
AK-W-15003,Michael R. Kiker,Celestial Meads,600 W 58th Ave,Anchorage,AK,99518,0,Anchorage
AK-W-15005,"Matson Winery, Inc.",Matson Winery & Supply,6383 Kenai Spur Hwy,Kenai,AK,99611,8302,Kenai Peninsula
AK-W-20240,Mcbess Enterprises Llc,Alaska Denali Winery,1301 E Dowling Rd,Anchorage,AK,99518,1428, 
AK-W-270,"Great Land Wines, Ltd.",Great Land Wines,Po Box 1083,Haines,AK,99827,1083,Haines
AK-W-271,Lisa & Steve Thomsen,Alaskan Wilderness Wines,498 Shearwater Way,Kodiak,AK,99615,7027,Kodiak Island
AK-W-273,"Bear Creek Winery, Llc", ,60203 Bear Creek Dr,Homer,AK,99603,9440,Kenai Peninsula
AL-W-11,"Perdido Vineyards Of Georgia, Inc.", ,Rr 1 Box 20-A,Perdido,AL,36562,9801,Baldwin
AL-W-13,Jahn Michel Coppey And Janie R. Coppey,Wills Creek Vineyards,10522 Duck Springs Rd,Attalla,AL,35954,8970,Etowah
AL-W-14,"White Oak Vineyards, Llc",White Oak Vineyards,1484 Dry Hollow Rd,Anniston,AL,36207,1155,Calhoun
AL-W-15000,"First Fruits, L.L.C.",The Winery On Main,613 2nd Ave N,Clanton,AL,35045,3422,Chilton
AL-W-15002,Deborah Vizzina And Charles Thomas Vizzina,Vizzini Farms Winery,800 Highway 87,Calera,AL,35040,5409,Shelby
AL-W-15003,"Cmc Winery, Inc.",Morgan Creek Vineyards,181 Morgan Creek Ln,Harpersville,AL,35078,5128,Shelby
AL-W-15004,"Jules J. Berta Vineyards, Llc", ,1409 Darden Ave,Albertville,AL,35951,7439,Marshall
AL-W-15005,"Whippoorwill Vineyard, L.L.C.",Whippoorwill Vineyard,4282 County Rd 31,Notasulga,AL,36866,0,Macon
AL-W-15007,"The Winery At Pepper Place, Lp Jahn M. Coppya, Charles T. Vizzina, Gayle Teal Dick, Gp's", ,2801 2nd Ave S,Birmingham,AL,35233,0,Jefferson
AL-W-15008,"Wakefield Enterprises, Inc.",Hodges Vineyards,230 Lee Rd,Camp Hill,AL,36850,0,Tallapoosa
AL-W-15009,"Hidden Meadow Vineyard, L.L.C.", ,664 County Road 606,Jemison,AL,35085,6553,Chilton
AL-W-15010,"Lee Investment Consultants, L.L.C.",Maraella Vineyards & Winery,5296 Old Us Hwy 278 E,Hokes Bluff,AL,35903,0,Etowah
AL-W-15011,Fruithurst Winery Llc,The Fruithurst Winery Co.,27091 County Road 49,Fruithurst,AL,36262,3342,Cleburne
AL-W-20264,"Mad County Winery, Llc", ,121 Castle Dr Nw,Huntsville,AL,35758,0,U.S.A.
AL-W-20316,Fortitudine Vineyard Llc, ,280 Vinyard Ln,Eutaw,AL,35462,4101,Green
AL-W-20426,"Southeast Wine, Llc",Ozan Vineyard And Cellars,173 Highway 301,Calera,AL,35040,5440,Shelby
AL-W-4,Kelly E. Iii & Susan K. Bryant,Bryant Vineyard,1454 Griffitt Bend Rd,Talladega,AL,35160,7255,Talladega
AR-W-15000,Kurt Neumeier,Neumeier Winery,3406 Swiss Family Dr,Altus,AR,72821,9036,Franklin
AR-W-15001,The Winery Of Hot Springs Inc.,The Winery Of Hot Springs,1503 Central Ave,Hot Springs,AR,71901,6147,Garland
AR-W-15002,"E & D Endeavors, Inc.",Keels Creek Winery,3185 E Van Buren,Eureka Springs,AR,72632,9498,Carroll
AR-W-15004,Andrew And Leslee Post,Claire Benet Cellars,8000 Beulah Land Dr,Ozark,AR,72949,2643,Franklin
AR-W-15006,Donley Gerald Helms,Departee Creek Winery,2610 Jackson 1,Bradford,AR,72020,0,White
AR-W-15007,Brian Roelands And Margaret Roelands,Blue Lady Resort,149 County Rd,Gamaliel,AR,72537,0,Baxter
AR-W-15008,"Pernod Ricard Usa Bottling, Llc",Pernod Ricard Usa,7401 State Highway 45 S,Fort Smith,AR,72916,9393,Sebastian
AR-W-15009,Tontitown Winery Llc, ,335 N Barrington Rd,Springdale,AR,72762,9747,Washington
AR-W-15012,"Point Remove Winery, Llc.",The Point Winery,36 Hunt Club Ln,Hattieville,AR,72063,8028,Conway
AR-W-15013,"Schneider Endeavors, Inc.",Railway Winery,4937 Highway 187,Eureka Springs,AR,72631,8870,Carroll
AR-W-20331,"Movie House Winery, Llc",Movie House Winery,112 E Commerce St,Morrilton,AR,72110,0,Conway
AR-W-26,"Cowie Wine Cellars, Inc.",Cowie Wine Cellars,101 N Carbon City Rd,Paris,AR,72855,4630,Logan
AR-W-31,"Chateau Aux Arc, Llc",Dba Chateau Aux Arc,8045 Highway 186,Altus,AR,72821,8936,Franklin
AR-W-32,"Post Winery, Inc.",Post Winery,1700 Saint Marys Mountain Rd,Altus,AR,72821,9001,Franklin
AR-W-33,Eugene J. Post,Mount Bethel Winery,U. S. Highway 64 - 3/10 Miles East,Altus,AR,72821,0,Franklin
AR-W-34,"Wiederkehr Wine Cellars, Inc.",Wiederkehr Wine Cellars,3324 Swiss Family Dr,Wiederkehr Village,AR,72821,9037,Franklin
AR-W-35,Paul J. Post,Sax Winery,1700 Saint Marys Mountain Rd,Altus,AR,72821,9001,Franklin
AR-WS-15000,"Ellen Golden, Direct Importer Of French Antiques, Llc", ,1916 N Fillmore St,Little Rock,AR,72207,4407,Pulaski
AZ-W-15000,"Page Springs Cellars, Inc",Page Springs Cellars,1500 N Page Springs Rd,Cornville,AZ,86325,6008,Yavapai
AZ-W-15001,Christopher Cary Hamilton,Rancho Rossa Vineyards,201 Cattle Ranch Ln.,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15002,Robin Hoult,Granite Creek Vineyards,1145 E Granite Creek Ln,Chino Valley,AZ,86323,5419,Yavapai
AZ-W-15003,"Paradise Produce, Llc",Freitas Vineyard,1575 Paradise Dr,Cottonwood,AZ,86326,4796,Yavapai
AZ-W-15004,Keeling Schaefer Vineyards Llc, ,10277 E Rock Creek Ln,Pearce,AZ,85625,6088,Cochise
AZ-W-15005,"Amigos De Vino, Inc.",Crop Circle Vineyard And Winery,3052 N Ft Grant Rd,Willcox,AZ,85643,3019,Cochise
AZ-W-15006,"Canelo Hills Vineyard And Winery, L.L.C.", ,342 Elgin Rd,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15007,Bostock Winery Inc,Bostock Winery,3248 Highway 82,Sonoita,AZ,85637,0,Santa Cruz
AZ-W-15008,"Alcantara, L.L.C.",Alcantara Vineyards & Winery,7500 E Alcantara Way,Cottonwood,AZ,86326,0,Yavapai
AZ-W-15009,"Javelina Leap Vineyard & Winery, Llc", ,1565 Page Springs Rd,Cornville,AZ,86325,0,Yavapai
AZ-W-15010,"Sycamore Canyon Winery, Llc",Sycamore Canyon Winery,2620 Dancing Apache Rd,Cornville,AZ,86325,0,Yavapai
AZ-W-15011,"Coronado Vineyards, Inc.",Coronado Vineyards,2909 E Country Club Dr,Willcox,AZ,85643,3376,Cochise
AZ-W-15012,"Su Vino Winery Scottsdale, Inc.",Su Vino Winery,7035 E Main St,Scottsdale,AZ,85251,0,Maricopa
AZ-W-15013,"Manning And Manning, Inc.",Kief-Joshua Vineyard,370 Elgin Rd,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15014,"World Of Wines, Llc","D'vine Wine, Your Personal Winery",6926 E Main St,Scottsdale,AZ,85251,4312,Maricopa
AZ-W-15015,"Jerome Winery, Inc.",Bitter Creek Winery,403 Clark St,Jerome,AZ,86331,0,Yavapai
AZ-W-15016,"Lightning Ridge Cellars, Llc", ,2368 Highway 83,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15017,Clear Creek Vineyard And Winery Llc, ,4053 E Highway 260,Camp Verde,AZ,86322,6047,Yavapai
AZ-W-15018,Zemper Reserve Llc,Studio Vino,1825 E Guadalupe Rd,Tempe,AZ,85283,3276,Maricopa
AZ-W-15019,"Wilhelm Family Vineyards, Llc",Wilhelm Family Vineyards,21 Mountain Ranch Dr,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15021,"Arizona Stronghold Vineyards, Llc",Arizona Stronghold Vineyards,4700 Old Highway 279,Camp Verde,AZ,86322,8700,Yavapai
AZ-W-15022,"Pillsbury Wine Company, Llc",Pillsbury Wine Company,6450 S Bennett Pl,Willcox,AZ,85643,0,Cochise
AZ-W-15023,Odyssey Cellars Inc.,Odyssey Cellars,8401 Bell Ranch Rd,Willcox,AZ,85643,0,Cochise
AZ-W-15024,"Arriba, Llc.",Juniper Well Ranch,5425 N Tonto Rd,Skull Valley,AZ,86338,0,Yavapai
AZ-W-15026,Norman Joseph Burglin And Jordan Joseph Burglin,Casavino Custom Winery,12005 N Saguaro Blvd,Fountain Hills,AZ,85268,4625,Maricopa
AZ-W-15029,"Jerome Winery, Inc.",Bitter Creek Winery,240 Hull St,Jerome,AZ,86331,0,Yavapai
AZ-W-15031,"Lawrence Dunham Vineyards, Llc",Lawrence Dunham Vineyards,13922 S Kuykendall Cutoff Rd,Pearce,AZ,85625,0,Cochise
AZ-W-15032,"Gerald, Inc.",Rose Peak Vineyards,17251 W Ash Creek Rd,Willcox,AZ,85643,7601,Cochise
AZ-W-15033,"Callaghan Vineyards, L.L.C.",Callaghan Vineyards,336 Elgin Rd,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15034,"Kwb Chandler, Llc",Kokopelli Winery,35 W Boston St,Chandler,AZ,85225,0,Maricopa
AZ-W-15035,Frank A. Cuda,Reunion Camp Juniperwood Ranch Winery,7775 W Stockman Rd,Ash Fork,AZ,86320,1111,Yavapai
AZ-W-15036,Barbara Carr And Rocky Carr,Sonoran Desert Winery,9385 S Wiltbank Rd,Tucson,AZ,85736,0,Pima
AZ-W-15037,"Carlson Creek Vineyard, Llc",Carlson Creek Vineyard,115 Railview Ave,Willcox,AZ,85643,2227,Cochise
AZ-W-15038,"Caduceus Cellars, Llc",Caduceus Cellars,103 Dundee Ave,Jerome,AZ,86331,0,Yavapai
AZ-W-15039,Hammelman Wines Llc,Hammelman Wines,130 S Haskell Ave,Willcox,AZ,85643,1111,Cochise
AZ-W-15040,Wine Canyon Llc,Wine Canyon,6140 S Kings Ranch Rd,Gold Canyon,AZ,85118,4679,Pinal
AZ-W-15041,"Hannah's Hill Enterprises, Llc",Hannah's Hill Vineyard,3989 Highway 82,Elgin,AZ,85611,0,Santa Cruz
AZ-W-15042,"Craig Vineyards, Llc",Charron Vineyards & Winery,18585 S Sonoita Hwy,Vail,AZ,85641,9107,Pima
