qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
"Sparkling","","10","40","3.5","Champagne Brut","4.6","199.97","44800","fr","France","Champagne","Dom Pérignon","/wineries/dom-perignon/wines/vintage-8888","/wineries/dom-perignon/wines/vintage-8888","background-image:url(//images.vivino.com/thumbs/J0ahYIj7RR--cw2YaMDJjA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut (Carte Jaune)","4.2","44.97","39716","fr","France","Champagne","Veuve Clicquot","/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-8888","/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-8888","background-image:url(//images.vivino.com/thumbs/9jAfIOV2SlqT7zSEVppJAQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Impérial Brut","4.1","33.89","37103","fr","France","Champagne","Moët &amp; Chandon","/wineries/moet-and-chandon/wines/imprial-8888","/wineries/moet-and-chandon/wines/imprial-8888","background-image:url(//images.vivino.com/wineries/7799/wines/000o1tb8lb47b_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Special Cuvée Brut Champagne","4.2","48.88","18233","fr","France","Champagne","Bollinger","/wineries/bollinger/wines/special-cuve-champagne-brut-8888","/wineries/bollinger/wines/special-cuve-champagne-brut-8888","background-image:url(//images.vivino.com/thumbs/1353520621_3785_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Premier","4.1","39.89","14850","fr","France","Champagne","Louis Roederer","/wineries/louis-roederer/wines/champagne-brut-premier-8888","/wineries/louis-roederer/wines/champagne-brut-premier-8888","background-image:url(//images.vivino.com/thumbs/w80pwXZlT6ariewRm9vv4g_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Réserve","4.1","39.99","14459","fr","France","Champagne","Taittinger","/wineries/taittinger/wines/champagne-rserve--reims-brut-8888","/wineries/taittinger/wines/champagne-rserve--reims-brut-8888","background-image:url(//images.vivino.com/thumbs/j-rxjXENT8qDDZgGXn0BlQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut","4.0","37.99","13495","fr","France","Champagne","Laurent-Perrier","/wineries/domaine-laurent-perrier/wines/2110015-champagne-brut-8888","/wineries/domaine-laurent-perrier/wines/2110015-champagne-brut-8888","background-image:url(//images.vivino.com/thumbs/dLtzJQmBQPOnN4OaCqKi7g_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Cordón Negro Brut","3.6","8.95","12385","es","Spain","Cava","Freixenet","/wineries/freixenet/wines/cordon-negro-cava-seleccion-8888","/wineries/freixenet/wines/cordon-negro-cava-seleccion-8888","background-image:url(//images.vivino.com/thumbs/TiCbj15nS8qf_1DBhamB1A_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Grande Cuvée Brut","4.6","134.99","11850","fr","France","Champagne","Krug","/wineries/champagne-krug/wines/champagne-grande-cuve-brut-8888","/wineries/champagne-krug/wines/champagne-grande-cuve-brut-8888","background-image:url(//images.vivino.com/thumbs/K2ehukiPQ364VJlqWoxVIA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Grand Brut Champagne","4.1","34.95","11238","fr","France","Champagne","Perrier-Jouët","/wineries/fr-perrier-jouet/wines/champagne-grand-brut-8888","/wineries/fr-perrier-jouet/wines/champagne-grand-brut-8888","background-image:url(//images.vivino.com/thumbs/uwkTEqsZRtKdWKInDwqmsw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
