qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
White,,10,40,3.5,Vinho Verde Branco,3.6,7.99,29924,pt,Portugal,Vinho Verde,Casal Garcia,/wineries/casal-gracia/wines/vinho-verde-casal-garcia-8888,/wineries/casal-gracia/wines/vinho-verde-casal-garcia-8888,background-image:url(//images.vivino.com/thumbs/VzS_uSVvTx2Lg-o3JIa3pw_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,White Blend,3.8,22.99,7780,us,United States,California,Conundrum,/wineries/conundrum-wines/wines/california-proprietary-blend-white-8888,/wineries/conundrum-wines/wines/california-proprietary-blend-white-8888,background-image:url(//images.vivino.com/thumbs/cJh1pq_NS2qrMihKcq5-5A_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Sauvignon Blanc 2015,4,17.99,5922,nz,New Zealand,Marlborough,Kim Crawford,/wineries/kim-crawford/wines/sauvignon-blanc-2015,/wineries/kim-crawford/wines/sauvignon-blanc-2015,background-image:url(//images.vivino.com/thumbs/Io3Yoh3OS5ulngBM0hbJMg_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Moscato Provincia di Pavia,4.3,18.99,4996,it,Italy,Provincia di Pavia,Bartenura,/wineries/bartenura/wines/4136413-provincia-di-pavia-moscato-8888,/wineries/bartenura/wines/4136413-provincia-di-pavia-moscato-8888,background-image:url(//images.vivino.com/thumbs/AK7Cdz19Q2Ke1NoZMcitsA_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Vinho Verde Branco,3.4,7.99,4462,pt,Portugal,Vinho Verde,Gazela,/wineries/gazela/wines/2120813-gazela-vinho-verde-8888,/wineries/gazela/wines/2120813-gazela-vinho-verde-8888,background-image:url(//images.vivino.com/thumbs/011ygovak8j66_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Kung Fu Girl Riesling 2014,3.8,9.49,4383,us,United States,Ancient Lakes of Columbia Valley,Charles Smith,/wineries/charles-smith/wines/kungfu-girl-riesling-2014,/wineries/charles-smith/wines/kungfu-girl-riesling-2014,background-image:url(//images.vivino.com/thumbs/KqxJX8AFTou5D_86u5_NDQ_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Sauvignon Blanc 2015,4.1,25.99,3608,nz,New Zealand,Marlborough,Cloudy Bay,/wineries/cloudy-bay/wines/sauvignon-blanc-2015,/wineries/cloudy-bay/wines/sauvignon-blanc-2015,background-image:url(//images.vivino.com/thumbs/EOcq4bJnTEC2WYtz0O_kfA_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Fumé Blanc,3.7,18.99,3502,us,United States,Napa Valley,Robert Mondavi,/wineries/robert-mondavi-winery/wines/fume-blanc-8888,/wineries/robert-mondavi-winery/wines/fume-blanc-8888,background-image:url(//images.vivino.com/wineries/1311/wines/00001v9nvlezo_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Gewürztraminer Alsace,3.8,18.99,3342,fr,France,Alsace,Trimbach,/wineries/maison-trimbach/wines/alsace-gewrztraminer-8888,/wineries/maison-trimbach/wines/alsace-gewrztraminer-8888,background-image:url(//images.vivino.com/thumbs/M0Y7xN8FQx-0usNC33HozA_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
White,,10,40,3.5,Sauvignon Blanc 2015,3.9,16.99,3285,nz,New Zealand,Marlborough,Brancott Estate,/wineries/brancott-vineyards/wines/marlborough-sauvignon-blanc-2015,/wineries/brancott-vineyards/wines/marlborough-sauvignon-blanc-2015,background-image:url(//images.vivino.com/thumbs/15GAdyNWQ72pNWIocL1yyQ_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgEAcDgPXA==
