qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
Red,,0,500,1,Periquita Original,3.3,11.99,24637,pt,Portugal,Península de Setúbal,José Maria da Fonseca,/wineries/jose-maria-da-fonseca/wines/periquita-original-vinho-vino-tinto-de-mesa-seco-8888,/wineries/jose-maria-da-fonseca/wines/periquita-original-vinho-vino-tinto-de-mesa-seco-8888,background-image:url(//images.vivino.com/thumbs/7gFhfmgyT4Kx_4TaDIflyQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Pinot Noir 2014,4.1,22.99,14454,us,United States,California,Meiomi,/wineries/meiomi/wines/meiomi-pinot-noir-2014,/wineries/meiomi/wines/meiomi-pinot-noir-2014,background-image:url(//images.vivino.com/thumbs/xJgUShhzTO2202mkmmktCQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Pomerol,4.7,1699.97,14175,fr,France,Pomerol,Pétrus,/wineries/petrus/wines/pomerol-8888-1,/wineries/petrus/wines/pomerol-8888-1,background-image:url(//images.vivino.com/thumbs/whfLQWMrS5yMdOREUDTcnw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Malbec 2014,3.6,13.99,13181,ar,Argentina,Mendoza,Alamos,/wineries/alamos-winery/wines/mendoza-alamos-malbec-2014,/wineries/alamos-winery/wines/mendoza-alamos-malbec-2014,background-image:url(//images.vivino.com/thumbs/eAlfCvnfRcGKlrxQ9M5WJQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Saint-Estèphe,4.2,199.99,13007,fr,France,Saint-Estèphe,Château Montrose,/wineries/montrose-115806/wines/saint-estephe-8888,/wineries/montrose-115806/wines/saint-estephe-8888,background-image:url(//images.vivino.com/thumbs/R179jJCbTlW20gB431bt9A_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Catena Malbec 2013,3.9,16.99,12062,ar,Argentina,Mendoza,Catena Zapata,/wineries/catena-zapata/wines/catena-mendoza-malbec-2013,/wineries/catena-zapata/wines/catena-mendoza-malbec-2013,background-image:url(//images.vivino.com/thumbs/Jry0nMm9Rae0YgvN_yVdoA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Cabernet Sauvignon,4.2,49.99,11929,us,United States,Napa Valley,Stags' Leap,/wineries/us-stags-leap-winery/wines/naoa-valley-cabernet-sauvignon-8888,/wineries/us-stags-leap-winery/wines/naoa-valley-cabernet-sauvignon-8888,background-image:url(//images.vivino.com/thumbs/-ZyQ5eQ_SsS0HXnO7-d-hw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Rioja Reserva 2011,3.9,18.99,11554,es,Spain,Rioja,Marqués de Riscal,/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011,/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011,background-image:url(//images.vivino.com/thumbs/8tjGxbR1QyWxKAa4DN3GRw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Malbec 2015,3.6,9.99,11243,ar,Argentina,Mendoza,Alamos,/wineries/alamos-winery/wines/malbec-2015,/wineries/alamos-winery/wines/malbec-2015,background-image:url(//images.vivino.com/thumbs/1i9e5mumRJ-sn9EwfPI7Rw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Pinot Noir 2015,4.1,23.99,10689,us,United States,California,Meiomi,/wineries/meiomi/wines/meiomi-pinot-noir-2015,/wineries/meiomi/wines/meiomi-pinot-noir-2015,background-image:url(//images.vivino.com/thumbs/uJJNtRmRT7qFkAotxbfhSw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
