qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
Port,,10,40,3.5,Late Bottled Vintage Port,3.9,19.99,5363,pt,Portugal,Late Bottled Vintage Port (LBV),Taylor's,/wineries/taylors-port/wines/late-bottled-vintage-port-8888,/wineries/taylors-port/wines/late-bottled-vintage-port-8888,background-image:url(//images.vivino.com/wineries/10534/wines/0001hr4p9o6nb.png);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,10 Year Old Tawny Port,4,29.98,4888,pt,Portugal,Aged Tawny Port,Taylor's,/wineries/taylors-port/wines/fladgate-10-year-old-tawny-porto-8888,/wineries/taylors-port/wines/fladgate-10-year-old-tawny-porto-8888,background-image:url(//images.vivino.com/thumbs/zloG6okBQRyCgu3_xTouzg_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,20 Year Old Tawny Port,4.3,49.98,3808,pt,Portugal,Aged Tawny Port,Graham's,/wineries/w-and-j-grahams/wines/20-year-old-tawny-port-8888,/wineries/w-and-j-grahams/wines/20-year-old-tawny-port-8888,background-image:url(//images.vivino.com/thumbs/ZMAUFZ0QQoq8TqPZBH5uLA_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,Tawny Porto,3.8,13.99,3653,pt,Portugal,Tawny Port,Ferreira,/wineries/ferreira/wines/ferreira-tawny-porto-8888,/wineries/ferreira/wines/ferreira-tawny-porto-8888,background-image:url(//images.vivino.com/thumbs/QF5iZWTNTruXSHyV0Q6jfw_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,10 Year Old Tawny Port,4.1,29,3501,pt,Portugal,Aged Tawny Port,Graham's,/wineries/w-and-j-grahams/wines/10-year-old-tawny-port-8888,/wineries/w-and-j-grahams/wines/10-year-old-tawny-port-8888,background-image:url(//images.vivino.com/thumbs/1jOeMAeJQuKFO1BGJ81NUg_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,Reserve Port Six Grapes,3.9,17.98,3172,pt,Portugal,Reserve Port,Graham's,/wineries/w-and-j-grahams/wines/2247147-six-grapes-reserve-porto-8888,/wineries/w-and-j-grahams/wines/2247147-six-grapes-reserve-porto-8888,background-image:url(//images.vivino.com/thumbs/4vAWapKDRsCqnVoXdQK0Aw_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,20 Year Old Tawny Port,4.3,49,2817,pt,Portugal,Aged Tawny Port,Taylor's,/wineries/taylors-port/wines/fladgate-20-year-old-tawny-porto-8888,/wineries/taylors-port/wines/fladgate-20-year-old-tawny-porto-8888,background-image:url(//images.vivino.com/thumbs/caZMuZ-9RWKhRv5ENWocRA_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,Founders Reserve Porto,3.8,16.99,2641,pt,Portugal,Reserve Port,Sandeman,/wineries/sandeman/wines/sandeman-founders-reserve-porto-8888,/wineries/sandeman/wines/sandeman-founders-reserve-porto-8888,background-image:url(//images.vivino.com/thumbs/1358032297_1059_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,Bin 27 Finest Reserve,3.8,16.98,2218,pt,Portugal,Porto,Fonseca,/wineries/fonseca-guimaraens/wines/bin-n27-porto-finest-reserve-8888,/wineries/fonseca-guimaraens/wines/bin-n27-porto-finest-reserve-8888,background-image:url(//images.vivino.com/wineries/7805/wines/0000pouzktwq9_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
Port,,10,40,3.5,Late Bottled Vintage Port,3.9,19.99,2069,pt,Portugal,Late Bottled Vintage Port (LBV),Dow's,/wineries/dows-port/wines/late-bottled-vintage-porto-8888,/wineries/dows-port/wines/late-bottled-vintage-porto-8888,background-image:url(//images.vivino.com/thumbs/IbN4vgY6REuN8DosSlAsQg_150x200.jpg);,Thu Jul 06 2017 19:08:39 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGpkAAH_ID5A=
