qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,img,pagetime,pageurl
"Red","Poultry","10","40","3.5","Pinot Noir 2014","4.1","$22.99","14454","us","United States","California","Meiomi","/wineries/meiomi/wines/meiomi-pinot-noir-2014","/wineries/meiomi/wines/meiomi-pinot-noir-2014","//images.vivino.com/thumbs/xJgUShhzTO2202mkmmktCQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Malbec 2014","3.6","$13.99","13181","ar","Argentina","Mendoza","Alamos","/wineries/alamos-winery/wines/mendoza-alamos-malbec-2014","/wineries/alamos-winery/wines/mendoza-alamos-malbec-2014","//images.vivino.com/thumbs/eAlfCvnfRcGKlrxQ9M5WJQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Catena Malbec 2013","3.9","$16.99","12062","ar","Argentina","Mendoza","Catena Zapata","/wineries/catena-zapata/wines/catena-mendoza-malbec-2013","/wineries/catena-zapata/wines/catena-mendoza-malbec-2013","//images.vivino.com/thumbs/Jry0nMm9Rae0YgvN_yVdoA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Rioja Reserva 2011","3.9","$18.99","11554","es","Spain","Rioja","Marqués de Riscal","/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011","/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011","//images.vivino.com/thumbs/8tjGxbR1QyWxKAa4DN3GRw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Pinot Noir 2015","4.1","$23.99","10689","us","United States","California","Meiomi","/wineries/meiomi/wines/meiomi-pinot-noir-2015","/wineries/meiomi/wines/meiomi-pinot-noir-2015","//images.vivino.com/thumbs/uJJNtRmRT7qFkAotxbfhSw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","I Gran Reserva Rioja 2001","4.0","$28.99","9829","es","Spain","Rioja","Faustino","/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001","/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001","//images.vivino.com/thumbs/xnp6rrwCRgiuENX6fwlzHQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Villa Antinori Rosso Toscana 2013","3.8","$18.98","8711","it","Italy","Toscana","Marchesi Antinori","/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013","/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013","//images.vivino.com/thumbs/2buRrfbrS3yby1YMr4QbBA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Reserva Cabernet Sauvignon 2015","3.5","$12.50","7953","cl","Chile","Valle Central","Casillero del Diablo","/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015","/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015","//images.vivino.com/thumbs/mliQEhw-QUyLYEx4WBFy-Q_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Tempranillo Rioja 2014","3.6","$10.99","7381","es","Spain","Rioja","Campo Viejo","/wineries/campo-viejo/wines/rioja-tempranillo-2014","/wineries/campo-viejo/wines/rioja-tempranillo-2014","//images.vivino.com/thumbs/0fpABEl7SQ-xjZDPF37Bcw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Malbec 2013","3.9","$17.99","7333","ar","Argentina","Mendoza","Luigi Bosca","/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013","/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013","//images.vivino.com/thumbs/iwgA3x0eSN2X5KnfsZeZbw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
